date,week,start_time,pair_number,plot,treatment,humidity,cloud_cover,temperature_C,wind_min,wind_max,plant,pollinator,sex_queen_worker,num_total_visits,num_unique_observations,observer,notes,date_entered,keep_remove,original_name_entered,,plant,pollinator
13-Jul-17,week_2,14:20,7,7_9,control,0.577,0.9,18.7,2.7,4.1,helianthella_quinquenervis,bombus_bifarius,worker,2,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:50,8,8_20,control,0.655,1,17,1.8,2.1,helianthella_quinquenervis,bombus_bifarius,worker,6,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:45,8,8_20,control,0.47,0.8,22,1.3,1.7,potentilla_gracilis,bombus_bifarius,worker,21,4,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:45,8,8_20,control,0.47,0.8,22,1.3,1.7,helianthella_quinquenervis,bombus_bifarius,worker,7,2,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,9:35,9,9_15,control,0.58,0.3,20,2.3,2.8,helianthella_quinquenervis,bombus_bifarius,worker,5,3,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,10:45,1,1_2,removal,0.53,0.45,21.4,2.3,3,potentilla_gracilis,bombus_bifarius,worker,6,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,10:45,1,1_2,removal,0.53,0.45,21.4,2.3,3,adenolinum_lewisii,bombus_bifarius,worker,2,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,13:40,3,3_13,removal,0.326,0.75,22.6,1.3,1.6,potentilla_gracilis,bombus_bifarius,worker,1,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,12:05,4,4_18,removal,0.495,0.85,22,2.4,3.8,potentilla_gracilis,bombus_bifarius,worker,6,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:10,6,6_8,removal,0.66,1,16,1.3,2,potentilla_gracilis,bombus_bifarius,worker,4,2,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:50,8,8_10,removal,0.655,1,17,1.8,2.1,potentilla_gracilis,bombus_bifarius,worker,3,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:45,8,8_10,removal,0.47,0.8,22,1.3,1.7,potentilla_gracilis,bombus_bifarius,worker,12,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,14:20,9,9_19,removal,0.369,0.8,24,2.5,4,potentilla_gracilis,bombus_bifarius,worker,3,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,12:10,9,9_19,removal,0.6,0.95,19,0,0,potentilla_gracilis,bombus_bifarius,worker,4,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,8:35,1,1_1,control,0.732,0.1,14,0.8,1.3,helianthella_quinquenervis,bombus_bifarius,worker,6,2,rgd,NA,21-Jul-17,keep,bombus_bifarius,,,
